category,tab,section,label,config_key,range_or_options,current_or_default,visibility,notes,source
Activate/deactivate,Mouse,Input Method,Arduino 16-bit Mouse,arduino_16_bit_mouse,true/false,n/a,GUI,Arduino input only. Sends wider mouse movement values.,overlay/draw_mouse.cpp
Activate/deactivate,Mouse,Input Method,Arduino Enable Keys,arduino_enable_keys,true/false,n/a,GUI,Arduino input only. Enables keyboard key output through Arduino.,overlay/draw_mouse.cpp
Slider,AI,Detection,Confidence Threshold,confidence_threshold,0.01-1.00,n/a,GUI,Minimum detector confidence accepted as a detection.,overlay/draw_ai.cpp
Slider,AI,Detection,NMS Threshold,nms_threshold,0.00-1.00,n/a,GUI,Non-max suppression overlap threshold.,overlay/draw_ai.cpp
Slider,AI,Detection,Max Detections,max_detections,1-100,n/a,GUI,Maximum detections retained after model output processing.,overlay/draw_ai.cpp
Activate/deactivate,Buttons,Arrow Key Options,Enable arrows keys options,enable_arrows_settings,true/false,n/a,GUI,Allows arrow-key adjustment of target offsets.,overlay/draw_buttons.cpp
Slider,Overlay,Visual,Overlay Opacity,overlay_opacity,220-255,n/a,GUI,Window opacity. The UI clamps to a readable minimum of 220.,overlay/draw_overlay.cpp
Slider,Overlay,Visual,UI Fine Scale,overlay_ui_scale,0.85-1.35,n/a,GUI,Fine-grained scaling for the overlay UI.,overlay/draw_overlay.cpp
Activate/deactivate,Overlay,Capture Privacy,Hide Overlays From Recording,overlay_exclude_from_capture,true/false,n/a,GUI,Applies capture exclusion so overlay windows are hidden from supported recording/capture paths.,overlay/draw_overlay.cpp
Activate/deactivate,Game Overlay,General,Enable,game_overlay_enabled,true/false,n/a,GUI,Enables the separate game overlay renderer.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,General,Overlay Max FPS (0 = uncapped),game_overlay_max_fps,0-256,n/a,GUI,Caps game overlay render rate. 0 is uncapped.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,General,Draw Detection Boxes,game_overlay_draw_boxes,true/false,n/a,GUI,Shows detection boxes in the game overlay.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,General,Draw Future Positions,game_overlay_draw_future,true/false,n/a,GUI,Shows predicted future target points.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,General,Draw Wind Debug Tail,game_overlay_draw_wind_tail,true/false,n/a,GUI,Shows the wind-mouse debug trail when wind motion is active.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,General,Show Target Correction,game_overlay_show_target_correction,true/false,n/a,GUI,Shows correction indicators for target prediction/aim adjustment.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Box Color,A,game_overlay_box_a,0-255,n/a,GUI,Detection box alpha.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Box Color,R,game_overlay_box_r,0-255,n/a,GUI,Detection box red channel.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Box Color,G,game_overlay_box_g,0-255,n/a,GUI,Detection box green channel.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Box Color,B,game_overlay_box_b,0-255,n/a,GUI,Detection box blue channel.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Box Color,Box Thickness,game_overlay_box_thickness,0.5-10.0,n/a,GUI,Detection box line thickness.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,Capture Frame,Draw Capture Frame,game_overlay_draw_frame,true/false,n/a,GUI,Draws the capture frame rectangle.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Capture Frame,A,game_overlay_frame_a,0-255,n/a,GUI,Capture frame alpha.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Capture Frame,R,game_overlay_frame_r,0-255,n/a,GUI,Capture frame red channel.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Capture Frame,G,game_overlay_frame_g,0-255,n/a,GUI,Capture frame green channel.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Capture Frame,B,game_overlay_frame_b,0-255,n/a,GUI,Capture frame blue channel.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Capture Frame,Frame Thickness,game_overlay_frame_thickness,0.5-10.0,n/a,GUI,Capture frame line thickness.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Future Point Style,Point Radius,game_overlay_future_point_radius,1.0-20.0,n/a,GUI,Radius of future-position points.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Future Point Style,Point Step Alpha Falloff,game_overlay_future_alpha_falloff,0.10-5.00,n/a,GUI,Controls how quickly future-point alpha fades along the path.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,Icon Overlay,Enable Icon Overlay,game_overlay_icon_enabled,true/false,n/a,GUI,Enables drawing an icon relative to detections.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Icon Overlay,Icon Width,game_overlay_icon_width,4-512,n/a,GUI,Icon width in pixels.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Icon Overlay,Icon Height,game_overlay_icon_height,4-512,n/a,GUI,Icon height in pixels.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Icon Overlay,Icon Offset X,game_overlay_icon_offset_x,-500.0-500.0,n/a,GUI,Horizontal icon offset from the selected anchor.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Icon Overlay,Icon Offset Y,game_overlay_icon_offset_y,-500.0-500.0,n/a,GUI,Vertical icon offset from the selected anchor.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,Aim Simulation,Enable Aim Simulation Window,aim_sim_enabled,true/false,n/a,GUI,Shows the aim simulation overlay window.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Sim X,aim_sim_x,-3000-3000,n/a,GUI,Aim simulation window X position.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Sim Y,aim_sim_y,-3000-3000,n/a,GUI,Aim simulation window Y position.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Sim Width,aim_sim_width,220-1600,n/a,GUI,Aim simulation window width.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Sim Height,aim_sim_height,180-1000,n/a,GUI,Aim simulation window height.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Sim FPS Min,aim_sim_fps_min,15-360,n/a,GUI,Minimum simulated frame rate.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Sim FPS Max,aim_sim_fps_max,15-360,n/a,GUI,Maximum simulated frame rate. The GUI keeps min and max ordered.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,FPS Jitter,aim_sim_fps_jitter,0.000-0.800,n/a,GUI,Randomized FPS variance for the simulation.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Capture Delay (ms),aim_sim_capture_delay_ms,0.0-80.0,n/a,GUI,Simulated capture delay.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,Aim Simulation,Use Live Inference Delay,aim_sim_use_live_inference,true/false,n/a,GUI,Uses live backend timing for inference delay instead of the manual value.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Inference Delay (ms),aim_sim_inference_delay_ms,0.0-120.0,n/a,GUI,Manual simulated inference delay when not using live timing.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Input Delay (ms),aim_sim_input_delay_ms,0.0-60.0,n/a,GUI,Simulated input delay.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Extra Delay (ms),aim_sim_extra_delay_ms,0.0-60.0,n/a,GUI,Additional simulated processing delay.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Target Max Speed,aim_sim_target_max_speed,20-2500,n/a,GUI,Maximum simulated target speed.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Target Accel,aim_sim_target_accel,20-10000,n/a,GUI,Simulated target acceleration.,overlay/draw_game_overlay.cpp
Slider,Game Overlay,Aim Simulation,Target Stop Chance,aim_sim_target_stop_chance,0.00-0.95,n/a,GUI,Probability that the simulated target pauses during a retarget.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,Aim Simulation,Show Delayed Observation,aim_sim_show_observed,true/false,n/a,GUI,Shows delayed target observation in the simulation.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,Aim Simulation,Show Trajectory History,aim_sim_show_history,true/false,n/a,GUI,Shows historical target/aim trails.,overlay/draw_game_overlay.cpp
Activate/deactivate,Game Overlay,Aim Simulation,Show Kalman Debug,aim_sim_show_kalman_debug,true/false,n/a,GUI,Shows Kalman-related debug visuals in the simulation.,overlay/draw_game_overlay.cpp
Activate/deactivate,Debug,Screenshot Buttons,Verbose console output,verbose,true/false,n/a,GUI,Enables extra console logging.,overlay/draw_debug.cpp
Activate/deactivate,Debug,Log File,Enable log file,debug_log_file_enabled,true/false,n/a,GUI,Writes logs to debug_log_file_path when enabled.,overlay/draw_debug.cpp
Combo,Capture,General Capture,Detection Resolution,detection_resolution,"160, 320, 640",n/a,GUI,Changes detector input resolution and restarts/reloads dependent paths.,overlay/draw_capture.cpp
Combo,Capture,General Capture,Capture method,capture_method,"duplication_api, winrt, virtual_camera, udp_capture",n/a,GUI,Selects frame source.,overlay/draw_capture.cpp
Combo,Capture,WinRT,Capture target (WinRT),capture_target,"monitor, window",n/a,GUI,WinRT only.,overlay/draw_capture.cpp
Input text,Capture,WinRT,Window title contains,capture_window_title,text,n/a,GUI,Used when WinRT target is window.,overlay/draw_capture.cpp
Combo,Capture,Monitor Capture,Capture monitor,monitor_idx,monitor index,n/a,GUI,Monitor list is built from active displays.,overlay/draw_capture.cpp
Combo,Capture,Virtual Camera,Virtual camera,virtual_camera_name,available cameras,n/a,GUI,Filtered list of DirectShow video input devices.,overlay/draw_capture.cpp
Input text,Capture,UDP Capture,UDP IP,udp_ip,IPv4/string,n/a,GUI,Applied with the Apply UDP Settings button.,overlay/draw_capture.cpp
Input int,Capture,UDP Capture,UDP Port,udp_port,1-65535,n/a,GUI,Applied with the Apply UDP Settings button.,overlay/draw_capture.cpp
Combo,Mouse,Game Profile,Active Game Profile,active_game,profile names,n/a,GUI,Selects the active game profile.,overlay/draw_mouse.cpp
Add/delete,Mouse,Manage Profiles,Game profile rows,Games.<profile>,"name = sens,yaw,pitch[,true,baseFOV]",profile/local,GUI,Custom profiles can be added/deleted; UNIFIED is read-only.,overlay/draw_mouse.cpp
Combo,Mouse,Input Method,Mouse Input Method,input_method,"WIN32, GHUB, RAZER, DIRECT, ARDUINO, TEENSY41, TEENSY41_HID, KMBOX_NET, KMBOX_A, MAKCU",n/a,GUI,Changes active mouse backend.,overlay/draw_mouse.cpp
Combo,Mouse,Input Method,Arduino/Teensy Port,arduino_port,COM1-COM30,n/a,GUI,Arduino and Teensy 4.1 serial input.,overlay/draw_mouse.cpp
Combo,Mouse,Input Method,Arduino/Teensy Baudrate,arduino_baudrate,9600-115200,n/a,GUI,Arduino and Teensy 4.1 serial input.,overlay/draw_mouse.cpp
Input text,Mouse,Input Method,Kmbox Net IP,kmbox_net_ip,text,n/a,GUI,Saved with Save & Reconnect.,overlay/draw_mouse.cpp
Input text,Mouse,Input Method,Kmbox Net Port,kmbox_net_port,text,n/a,GUI,Saved with Save & Reconnect.,overlay/draw_mouse.cpp
Input text,Mouse,Input Method,Kmbox Net UUID,kmbox_net_uuid,text,n/a,GUI,Saved with Save & Reconnect.,overlay/draw_mouse.cpp
Input text,Mouse,Input Method,Kmbox A PIDVID,kmbox_a_pidvid,PPPPVVVV,n/a,GUI,Saved with Save & Reconnect.,overlay/draw_mouse.cpp
Combo,Mouse,Input Method,Makcu Port,makcu_port,"AUTO, COM1-COM30",n/a,GUI,Makcu input only.,overlay/draw_mouse.cpp
Combo,Mouse,Input Method,Makcu Baudrate,makcu_baudrate,115200-4000000,n/a,GUI,Makcu input only.,overlay/draw_mouse.cpp
Combo,AI,Model,Model,ai_model,models folder,n/a,GUI,Selects detector model from available files.,overlay/draw_ai.cpp
Combo,AI,Backend,Backend,backend,"TRT, DML",n/a,CUDA GUI / DML config-only,CUDA builds only; DML build does not expose this combo.,overlay/draw_ai.cpp
Combo rows,Buttons,Button Bindings,Targeting Buttons,button_targeting,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_buttons.cpp
Combo rows,Buttons,Button Bindings,Shoot Buttons,button_shoot,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_buttons.cpp
Combo rows,Buttons,Button Bindings,Zoom Buttons,button_zoom,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_buttons.cpp
Combo rows,Buttons,Button Bindings,Exit Buttons,button_exit,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_buttons.cpp
Combo rows,Buttons,Button Bindings,Pause Buttons,button_pause,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_buttons.cpp
Combo rows,Buttons,Button Bindings,Reload Config Buttons,button_reload_config,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_buttons.cpp
Combo rows,Buttons,Button Bindings,Overlay Buttons,button_open_overlay,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_buttons.cpp
Button,Overlay,Config,Save Config,config.ini,writes config.ini,n/a,GUI,Immediately writes the current runtime config.,overlay/draw_overlay.cpp
Button,Overlay,Config,Load Config,config.ini,reads config.ini,n/a,GUI,Merges config.ini into current runtime values and refreshes runtime-sensitive paths.,overlay/draw_overlay.cpp
Input text/browse,Game Overlay,Icon Overlay,Icon Path,game_overlay_icon_path,path,n/a,GUI,Image path for icon overlay.,overlay/draw_game_overlay.cpp
Input int,Game Overlay,Icon Overlay,Icon Class (-1 = all),game_overlay_icon_class,-1 or class id,n/a,GUI,Restricts icon to one class when >= 0.,overlay/draw_game_overlay.cpp
Combo,Game Overlay,Icon Overlay,Icon Anchor,game_overlay_icon_anchor,"center, top, bottom, head",n/a,GUI,Anchor point used for icon placement.,overlay/draw_game_overlay.cpp
Combo rows,Debug,Screenshot Buttons,Screenshot buttons,screenshot_button,key list,n/a,GUI,Supports multiple bindings with + and -.,overlay/draw_debug.cpp
Input int,Debug,Screenshot Buttons,Screenshot delay,screenshot_delay,step 50/500,n/a,GUI,Delay before screenshot capture.,overlay/draw_debug.cpp
Input text,Debug,Log File,Log file path,debug_log_file_path,path,n/a,GUI,Used when Enable log file is on.,overlay/draw_debug.cpp
Config-only setting,,Mouse prediction,prediction_futurePositions,prediction_futurePositions,integer,20,Config only,"Number of future target positions to retain/use for prediction visualization. Saved in current config.ini, but no direct GUI control exists.",config/config.cpp
Config-only setting,,Mouse prediction,draw_futurePositions,draw_futurePositions,true/false,true,Config only,Enables drawing future positions in preview/debug paths. Separate from game_overlay_draw_future.,config/config.cpp
Config-only setting,,AI backend,backend,backend,DML or TRT,DML,DML config-only / CUDA GUI,Selects DirectML or TensorRT backend. GUI combo exists only in CUDA builds.,config/config.cpp
Config-only setting,,AI backend,dml_device_id,dml_device_id,integer adapter id,0,Config only,DirectML adapter index used by ONNX Runtime DML. Not exposed in the GUI.,config/config.cpp
Config-only setting,,System reserves,cpuCoreReserveCount,cpuCoreReserveCount,integer,4,Config only,CPU cores reserved away from worker assignment. Not exposed in the GUI.,config/config.cpp
Config-only setting,,System reserves,systemMemoryReserveMB,systemMemoryReserveMB,MB,2048,Config only,System memory reserve used by runtime resource planning. Not exposed in the GUI.,config/config.cpp
Config-only setting,,Custom classes,class_player,class_player,integer class id,0,Config only,Detector class id treated as player/body. Not exposed in the GUI.,config/config.cpp
Config-only setting,,Custom classes,class_head,class_head,integer class id,1,Config only,Detector class id treated as head. Not exposed in the GUI.,config/config.cpp
Config-only setting,,Debug,show_fps,show_fps,true/false,false,Config only,Legacy/debug FPS display flag. Saved in config.ini but not exposed in the current GUI.,config/config.cpp
Config-only setting,,Game profiles,Games.UNIFIED,Games.UNIFIED,"sens,yaw,pitch[,true,baseFOV]","1.00,0.02,0.02",Config only,Default profile row used for degree-to-count conversion. UNIFIED is shown read-only in the GUI.,config/config.cpp
Config-only setting,,Advanced mouse,minSpeedMultiplier,minSpeedMultiplier,float,0.1,Loadable hidden key,Legacy minimum movement speed multiplier. Loadable from config.ini if added manually; saveConfig does not currently emit it.,config/config.cpp
Config-only setting,,Advanced mouse,maxSpeedMultiplier,maxSpeedMultiplier,float,0.1,Loadable hidden key,Legacy maximum movement speed multiplier. Loadable from config.ini if added manually; saveConfig does not currently emit it.,config/config.cpp
Config-only setting,,Advanced mouse,predictionInterval,predictionInterval,seconds,0.01,Loadable hidden key,Prediction sample interval used by legacy/auxiliary prediction logic. Loadable from config.ini if added manually; saveConfig does not currently emit it.,config/config.cpp
Config-only setting,,Legacy snap,snapRadius,snapRadius,float,1.5,Config only,Legacy snap radius. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Legacy snap,nearRadius,nearRadius,float,25.0,Config only,Legacy near-target radius. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Legacy snap,speedCurveExponent,speedCurveExponent,float,3.0,Config only,Legacy speed curve exponent. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Legacy snap,snapBoostFactor,snapBoostFactor,float,1.15,Config only,Legacy snap boost multiplier. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Legacy recoil,easynorecoil,easynorecoil,true/false,false,Config only,Legacy recoil helper flag. Loadable hidden key; no GUI control and not emitted by saveConfig.,config/config.cpp
Config-only setting,,Legacy recoil,easynorecoilstrength,easynorecoilstrength,float,0.0,Config only,Legacy recoil helper strength. Loadable hidden key; no GUI control and not emitted by saveConfig.,config/config.cpp
Config-only setting,,Wind mouse,wind_mouse_enabled,wind_mouse_enabled,true/false,false,Config only,Enables wind-style motion noise in supported runtime/simulation paths. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Wind mouse,wind_G,wind_G,float,18.0,Config only,Wind mouse gravity parameter. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Wind mouse,wind_W,wind_W,float,15.0,Config only,Wind mouse wind parameter. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Wind mouse,wind_M,wind_M,float,10.0,Config only,Wind mouse max-step parameter. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,Wind mouse,wind_D,wind_D,float,8.0,Config only,Wind mouse damping/distance parameter. Loadable hidden key; no GUI control.,config/config.cpp
Config-only setting,,CUDA,export_enable_fp8,export_enable_fp8,true/false,false,CUDA config-only,Enables FP8 TensorRT export where supported. CUDA builds only; no GUI checkbox.,config/config.cpp
Config-only setting,,CUDA,export_enable_fp16,export_enable_fp16,true/false,true,CUDA config-only,Enables FP16 TensorRT export where supported. CUDA builds only; no GUI checkbox.,config/config.cpp
Config-only setting,,CUDA,use_cuda_graph,use_cuda_graph,true/false,false,CUDA config-only,Enables CUDA graph execution path. CUDA builds only; no GUI checkbox.,config/config.cpp
Config-only setting,,CUDA,use_pinned_memory,use_pinned_memory,true/false,true,CUDA config-only,Uses pinned host memory for CUDA paths. CUDA builds only; no GUI checkbox.,config/config.cpp
Config-only setting,,CUDA,gpuMemoryReserveMB,gpuMemoryReserveMB,MB,2048,CUDA config-only,GPU memory reserve for CUDA resource planning. CUDA builds only; no GUI control.,config/config.cpp
Config-only setting,,CUDA,enableGpuExclusiveMode,enableGpuExclusiveMode,true/false,true,CUDA config-only,Attempts GPU exclusive mode at startup. CUDA builds only; no GUI checkbox.,config/config.cpp
